Query_ID,Words
126,"['flu', 'swine', 'vaccine', 'new', 'people']"
127,"['eclipse', 'solar', 'bangladesh', 'sun', 'moon']"
128,"['hindu', 'muslim', 'modi', 'gujarat', 'india']"
129,"['jackson', 'michael', 'doctor', 'death', 'los']"
130,"['price', 'oil', 'fuel', 'government', 'crude']"
131,"['journalist', 'group', 'medium', 'year', 'observer']"
132,"['obama', 'barack', 'house', 'white', 'president']"
133,"['abuse', 'abu', 'ghraib', 'prison', 'u']"
134,"['bomb', 'people', 'police', 'india', 'killed']"
135,"['india', 'international', 'friendly', 'feb', 'scorer']"
136,"['piracy', 'government', 'film', 'industry', 'copyright']"
137,"['ltte', 'tamil', 'tiger', 'sri', 'war']"
138,"['government', 'party', 'congress', 'bill', 'parliament']"
139,"['pirate', 'somali', 'vessel', 'ship', 'ransom']"
140,"['water', 'mission', 'mar', 'nasa', 'phoenix']"
141,"['view', 'click', 'cell', 'using', 'cloned']"
142,"['click', 'rea', 'delhi', 'founder', 'trash']"
143,"['tata', 'nano', 'car', 'motor', 'india']"
144,"['union', 'carbide', 'government', 'india', 'bhopal']"
145,"['bhutto', 'benazir', 'dec', 'pakistan', 'assassination']"
146,"['ram', 'court', 'verdict', 'dhaka', 'single']"
147,"['crime', 'cyber', 'war', 'government', 'hacker']"
148,"['site', 'facebook', 'social', 'networking', 'user']"
149,"['commonwealth', 'delhi', 'announ', 'thursday', 'nov']"
150,"['gate', 'microsoft', 'company', 'bill', 'year']"
151,"['prize', 'nobel', 'swedish', 'million', 'science']"
152,"['missile', 'test', 'india', 'range', 'nuclear']"
153,"['system', 'planet', 'solar', 'scientist', 'year']"
154,"['view', 'click', 'read', 'agency', 'result']"
155,"['mumbai', 'hotel', 'taj', 'militant', 'attack']"
156,"['cricket', 'modi', 'indian', 'ipl', 'government']"
157,"['film', 'indian', 'bollywood', 'best', 'award']"
158,"['al', 'muslim', 'obama', 'qaeda', 'u']"
159,"['hasina', 'sheikh', 'press', 'secretary', 'dhaka']"
160,"['iraq', 'war', 'wounded', 'people', 'crime']"
161,"['u', 'bush', 'al', 'terrorism', 'qaeda']"
162,"['tornado', 'people', 'injured', 'killed', 'least']"
163,"['tiger', 'india', 'wildlife', 'number', 'say']"
164,"['jackson', 'michael', 'year', 'child', 'pop']"
165,"['marriage', 'divorce', 'year', 'percent', 'couple']"
166,"['dhaka', 'disaster', 'management', 'bangladesh', 'secretary']"
167,"['chechen', 'rebel', 'killed', 'police', 'russia']"
168,"['kyi', 'suu', 'year', 'house', 'arrest']"
169,"['attack', 'people', 'militant', 'killed', 'pakistan']"
170,"['indian', 'india', 'development', 'year', 'new']"
171,"['case', 'court', 'minister', 'dhaka', 'former']"
172,"['india', 'girl', 'female', 'foetus', 'sex']"
173,"['dalai', 'lama', 'china', 'tibet', 'tibetan']"
174,"['bangladesh', 'global', 'economic', 'recession', 'bank']"
175,"['tendulkar', 'run', 'india', 'test', 'record']"
